"Saison";"Sptag";"Heim";"Auswaerts";"ToreH";"ToreA";"TorminH";"TorminA";"GelbH";"GelbRotH";"RotH";"MinH";"GelbA";"GelbRotA";"RotA";"MinA"
1996;31;"uerdingen";"leverkusen";3;0;"31/46/89";"";1;0;0;"";0;0;0;""
1996;31;"duesseldorf";"stpauli";2;0;"6/47";"";2;0;0;"";2;0;0;""
1996;31;"hamburg";"mgladbach";2;1;"18/87";"67";2;0;0;"";2;0;0;""
1996;31;"fckoeln";"frankfurt";3;0;"29/81/87";"";2;0;0;"";3;0;0;""
1996;31;"bremen";"bmuenchen";3;2;"42/49/66";"14/23";1;0;0;"";1;0;0;""
1996;31;"1860muenchen";"klautern";1;1;"33";"45";2;0;0;"";3;0;0;""
1996;32;"dortmund";"uerdingen";5;0;"5/23/35/43/59";"";2;0;0;"";1;0;0;""
1996;32;"freiburg";"klautern";0;0;"";"";0;0;0;"";0;0;0;""
1996;32;"frankfurt";"schalke";0;3;"";"14/69/80";1;0;0;"";3;0;0;""
1996;32;"leverkusen";"1860muenchen";2;1;"23/64";"72";2;0;0;"";4;0;0;""
1996;32;"mgladbach";"karlsruhe";1;2;"60";"33/62";0;0;0;"";3;0;0;""
1996;32;"bmuenchen";"fckoeln";3;2;"5/54/62";"49/79";0;0;0;"";3;0;1;"54"
1996;32;"rostock";"bremen";2;1;"54/58";"78";3;0;0;"";5;0;0;""
1996;32;"vfbstuttgart";"duesseldorf";2;3;"83/89";"49/68/74";2;0;0;"";0;0;0;""
1996;32;"stpauli";"hamburg";1;1;"45";"77";3;0;0;"";4;0;0;""
1996;33;"duesseldorf";"frankfurt";2;2;"8/27";"64/83";0;0;0;"";0;0;0;""
