Titel;Ort;Erscheinungsweise;Quartal;Verbreitung;Verkauf;DAGesamt
Kolpingmagazin;Köln;mtl;20054;190042;189190;189567
Kolpingmagazin;Köln;mtl;20061;186215;185379;187883
Kolpingmagazin;Köln;mtl;20062;185271;184470;186990
Kolpingmagazin;Köln;mtl;20063;184711;183886;186310
Kolpingmagazin;Köln;mtl;20064;183576;182746;185197
Kolpingmagazin;Köln;mtl;20071;181714;180888;183363
Kolpingmagazin;Köln;mtl;20072;180718;179942;182441
Kolpingmagazin;Köln;mtl;20073;180154;179069;181520
Kolpingmagazin;Köln;mtl;20074;179352;178844;181034
Kolpingmagazin;Köln;mtl;20081;178545;178248;185082
Kolpingmagazin;Köln;mtl;20081;178545;178248;185082
Kolpingmagazin;Köln;mtl;20082;177476;176103;184352
Kolpingmagazin;Köln;mtl;20082;177476;176103;184352
Kolpingmagazin;Köln;mtl;20083;177280;175421;183772
Kolpingmagazin;Köln;mtl;20083;177280;175421;183772
Kolpingmagazin;Köln;mtl;20084;177006;176429;182574
Kolpingmagazin;Köln;mtl;20084;177006;176429;182574
Kolpingmagazin;Köln;mtl;20091;175761;175545;181354
Kolpingmagazin;Köln;mtl;20091;175761;175545;181354
Kolpingmagazin;Köln;mtl;20092;174853;174550;180565
Kolpingmagazin;Köln;mtl;20093;174484;174011;179934
Kolpingmagazin;Köln;mtl;20094;173444;173317;178840
Kontakt (Russisch);Köln;woe;20014;52690;37889;55000
Kontakt (Russisch);Köln;woe;20021;53380;36259;57142
Kontakt (Russisch);Köln;woe;20022;55582;35612;59167
Kontakt (Russisch);Köln;woe;20023;51963;35759;54572
Kontakt (Russisch);Köln;woe;20024;53045;36469;55583
Kontakt (Russisch);Köln;woe;20031;54413;37236;57450
Kontakt (Russisch);Köln;woe;20032;55174;40224;56250
Kontakt (Russisch);Köln;woe;20033;67266;42883;70000
Kontakt (Russisch);Köln;woe;20034;56906;45091;59998
Kontakt (Russisch);Köln;woe;20041;57705;44928;58880
Kontakt (Russisch);Köln;woe;20042;47420;46992;48692
Kontakt (Russisch);Köln;woe;20043;46086;46086;47210
Kontakt (Russisch);Köln;woe;20044;46908;46908;48047
Kontakt (Russisch);Köln;woe;20051;48530;45658;51230
Kontakt (Russisch);Köln;woe;20051;48490;47657;51230
Kontakt (Russisch);Köln;woe;20052;46032;46032;50081
Kontakt (Russisch);Köln;woe;20053;54595;49499;57334
Kontakt (Russisch);Köln;woe;20054;86106;58425;89569
Kontakt (Russisch);Köln;woe;20061;72933;63636;76354
Kontakt (Russisch);Köln;woe;20061;73508;64211;76354
Kontakt (Russisch);Köln;woe;20062;70686;67576;75062
Kontakt (Russisch);Köln;woe;20063;69402;67998;73012
Kontakt (Russisch);Köln;woe;20064;76557;72888;81556
Kontakt (Russisch);Köln;woe;20071;71123;71123;75331
Kontakt (Russisch);Köln;woe;20072;70470;70470;73838
Kontakt (Russisch);Köln;woe;20073;69287;69287;72400
Kontakt (Russisch);Köln;woe;20074;69516;69516;72531
Kontakt (Russisch);Köln;woe;20081;71027;71027;74346
Kontakt (Russisch);Köln;woe;20082;69822;69822;73862
Kontakt (Russisch);Köln;woe;20083;69076;69076;73480
Kontakt (Russisch);Köln;woe;20084;72519;69498;76452
Kontakt (Russisch);Köln;woe;20091;69924;67910;72972
Kontakt (Russisch);Köln;woe;20092;65515;64746;71035
Kontakt (Russisch);Köln;woe;20093;64084;64084;68041
Kontakt (Russisch);Köln;woe;20094;62596;62596;65947
metallzeitung;Frankfurt;12 x jähr;20001;2118412;2117720;2118467
metallzeitung;Frankfurt;12 x jähr;20001;2118412;2117720;2118467
metallzeitung;Frankfurt;12 x jähr;20001;2118438;2117720;2118467
metallzeitung;Frankfurt;12 x jähr;20002;2116495;2116004;2116550
metallzeitung;Frankfurt;12 x jähr;20003;2102236;2101711;2102291
metallzeitung;Frankfurt;12 x jähr;20004;2106104;2105579;2106159
